NAU_ID,F14C,F14C_sd,
UAL20303,1.0357,0.0042,
UAL20307,1.0358,0.0045,
UAL20201,1.0415,0.0087,
UAL20300,1.0460,0.0052,
UAL20206,1.0128,0.0083,
UAL20309,1.0431,0.0048,
UAL20308,1.0491,0.0052,
UAL20204,1.0747,0.0075,
UAL20205,1.0186,0.0058,
