radiocarbon_id,14C age,error
692,2065,30
2284,2065,20
1669,2066,33
1523,2067,21
293,2070,130
1833,2070,50
176,2070,70
189,2070,75
72,2070,60
1650,2070,20
162,2071,36
591,2072,36
1362,2074,20
320,2075,50
633,2075,35
1780,2075,22
384,2075,45
231,2075,80
2506,2075,40
1202,2076,24
2299,2076,27
2047,2080,40
91,2080,70
255,2080,95
2392,2080,40
2285,2080,20
1016,2081,30
1500,2082,29
756,2084,31
385,2085,75
1834,2088,22
765,2088,30
1201,2090,40
1431,2090,40
1074,2090,60
1520,2090,30
744,2090,40
2456,2090,65
1677,2091,25
2468,2091,56
2806,2092,22
1699,2093,36
2072,2094,58
1854,2095,36
1754,2095,20
1294,2095,19
1033,2100,40
387,2100,60
1093,2100,30
2384,2100,60
296,2100,130
181,2100,20
595,2100,42
364,2100,70
106,2100,30
1856,2101,38
2813,2103,22
639,2103,43
1631,2103,22
1044,2104,33
1076,2105,21
227,2105,35
382,2105,70
2030,2106,29
2420,2106,39
1039,2108,34
1897,2110,40
1727,2110,33
2068,2110,35
1518,2110,30
381,2110,45
728,2110,80
315,2110,30
809,2110,31
2390,2110,60
2653,2110,30
769,2111,32
551,2114,34
9,2115,30
1395,2115,36
360,2116,32
2609,2117,26
697,2117,33
2266,2119,21
2156,2120,35
191,2120,20
404,2120,25
398,2120,45
550,2120,40
565,2120,40
324,2120,50
2173,2120,35
2386,2120,70
2808,2122,29
1406,2123,20
2660,2125,30
749,2125,33
392,2125,85
1813,2128,64
2283,2129,18
389,2130,65
656,2130,20
1546,2130,20
2391,2130,60
120,2130,60
216,2130,20
1498,2132,21
1045,2133,39
8,2134,30
2210,2135,22
2398,2135,25
2651,2135,30
2657,2136,49
742,2138,44
294,2140,130
2212,2140,49
1071,2140,40
183,2140,50
1600,2140,40
2135,2140,40
658,2140,20
579,2140,60
139,2140,60
2725,2141,26
1614,2143,23
1361,2143,53
1738,2144,43
1643,2144,24
1262,2144,21
2416,2145,35
2341,2145,35
1665,2148,47
1794,2149,45
295,2150,130
313,2150,70
690,2150,35
1596,2150,40
2132,2150,40
659,2150,25
297,2150,130
2553,2150,40
571,2150,50
76,2150,55
2767,2150,80
388,2150,70
105,2150,20
185,2155,435
2880,2157,31
2419,2157,50
1087,2158,34
588,2159,30
589,2159,34
291,2160,130
2100,2160,35
559,2160,40
2387,2160,40
549,2160,60
110,2160,70
136,2160,35
965,2160,40
1956,2162,22
2264,2162,34
587,2163,30
240,2165,70
689,2165,30
146,2165,55
1728,2167,35
576,2168,31
1073,2170,40
655,2170,30
1811,2170,35
578,2170,50
2131,2170,40
1288,2170,29
674,2170,50
306,2170,40
2389,2170,40
2790,2170,70
272,2170,60
1622,2171,24
2351,2171,96
590,2171,33
2087,2175,40
390,2175,45
2353,2175,40
621,2175,38
1901,2175,33
2104,2175,35
632,2175,35
53,2175,45
11,2179,28
2636,2179,33
1691,2180,22
643,2180,40
2086,2180,35
2382,2180,40
1651,2182,20
1613,2183,21
577,2184,33
710,2184,23
380,2185,55
2652,2185,30
2661,2185,30
209,2185,45
316,2185,65
713,2186,22
782,2187,46
2292,2190,40
572,2190,40
148,2190,55
117,2190,60
51,2190,20
274,2190,60
1068,2190,40
1515,2190,40
1800,2192,22
1290,2192,34
1666,2192,40
1358,2193,54
615,2193,38
696,2194,34
2658,2195,30
401,2195,75
393,2195,80
1394,2199,30
743,2199,34
2209,2200,60
610,2200,39
604,2200,40
232,2200,50
764,2200,30
691,2200,35
109,2200,20
113,2200,50
187,2202,35
711,2202,28
1157,2204,39
2876,2205,35
635,2205,35
1698,2207,39
1391,2209,31
1860,2209,28
2233,2210,25
54,2210,20
2874,2210,35
1432,2210,40
1388,2210,40
2546,2210,40
720,2210,35
594,2210,35
558,2210,60
221,2210,20
1456,2210,40
2871,2210,115
124,2210,60
613,2212,41
1200,2214,22
2659,2215,30
215,2215,35
334,2215,80
312,2215,50
1773,2220,270
2817,2220,30
657,2220,30
772,2220,70
484,2220,70
2297,2220,40
554,2220,40
337,2220,80
1069,2220,40
260,2221,26
135,2221,30
2298,2223,25
573,2224,36
1264,2227,20
1772,2227,34
2355,2230,50
1712,2230,40
2877,2230,35
1359,2230,60
560,2230,60
1454,2230,40
612,2232,38
2257,2233,22
1501,2235,40
1805,2235,30
108,2235,20
2033,2238,50
49,2239,33
2286,2240,40
736,2240,70
1462,2240,40
359,2240,45
147,2240,90
686,2240,50
107,2240,40
2263,2245,33
739,2245,70
1617,2245,120
2085,2245,35
593,2248,43
2415,2249,32
2875,2250,35
1535,2250,40
292,2250,130
116,2250,40
111,2250,50
118,2250,60
261,2253,26
2179,2255,35
1293,2258,21
750,2259,33
1595,2260,40
737,2260,45
2445,2260,55
213,2260,70
131,2260,60
616,2266,38
2265,2266,24
2873,2269,28
2274,2270,40
1525,2270,40
1524,2270,40
1661,2270,40
580,2270,40
1455,2270,40
138,2270,60
564,2271,67
1906,2275,30
1647,2277,27
2223,2279,40
1473,2280,40
210,2280,25
1193,2284,20
