radiocarbon_id,14C age,error
1278,2940,35
1152,2940,55
2277,2940,40
2322,2940,50
2127,2940,40
2477,2940,25
1030,2940,60
1823,2942,33
1755,2943,40
2682,2945,40
1166,2945,23
1818,2945,31
1909,2945,45
934,2945,40
2646,2945,50
877,2945,20
2883,2946,27
2881,2946,25
1701,2947,38
1182,2949,39
2688,2950,30
2686,2950,45
1572,2950,34
1610,2950,18
2309,2950,80
2230,2950,30
2344,2950,40
2136,2950,40
1025,2950,60
2273,2950,40
1154,2950,100
1380,2950,35
853,2950,50
1031,2950,60
882,2950,40
880,2950,40
1141,2950,30
1674,2952,24
1583,2953,45
1877,2955,45
912,2955,25
2116,2955,35
2113,2955,35
2097,2955,35
2690,2955,45
1400,2956,20
1268,2960,20
1682,2960,50
2287,2960,40
2171,2960,35
2505,2960,30
1329,2961,36
828,2962,47
1573,2963,23
1296,2963,25
1218,2963,20
2114,2965,35
1529,2965,40
2694,2965,45
2604,2965,26
816,2965,60
2676,2965,45
1212,2968,27
1319,2969,22
2515,2970,70
1908,2970,45
2703,2970,30
1228,2970,40
2247,2970,40
860,2970,60
1918,2970,60
2305,2970,50
846,2970,90
1673,2970,40
2588,2970,2
2476,2970,30
2726,2971,26
1171,2973,23
2681,2975,45
2303,2975,37
1503,2977,31
2333,2978,248
1242,2979,39
2512,2980,40
1257,2980,36
1499,2980,60
1234,2980,40
1450,2980,20
1126,2980,40
2163,2980,60
2306,2980,110
1027,2980,70
2137,2980,40
2106,2980,40
1229,2981,41
2674,2985,45
1504,2988,32
1491,2989,35
2805,2989,40
2048,2990,40
2252,2990,26
2692,2990,40
1910,2990,45
1803,2990,40
1053,2990,40
2414,2990,40
850,2990,70
1037,2990,40
1318,2994,20
2637,2995,33
1451,2995,50
1767,2996,25
1851,2998,48
1447,2998,22
1232,2999,28
1217,2999,26
2521,3000,40
2701,3000,30
1047,3000,210
2572,3000,60
1279,3000,110
1155,3000,70
1227,3001,21
1571,3001,33
1494,3001,22
1444,3002,43
1287,3002,27
2884,3003,24
1158,3005,30
1481,3005,20
1912,3005,45
838,3005,45
1270,3005,37
2193,3005,35
2643,3009,36
1036,3010,40
2154,3011,25
2059,3012,23
1184,3013,35
815,3015,65
1548,3015,22
1183,3016,33
2440,3016,41
1592,3017,37
2795,3019,25
1117,3019,53
1046,3020,90
1441,3020,70
2159,3020,35
1426,3020,60
1692,3020,66
103,3020,70
2282,3020,50
1302,3021,20
2197,3023,34
1145,3025,35
1378,3025,35
1010,3026,33
1348,3026,34
1585,3028,40
2632,3029,37
2276,3030,40
1417,3030,50
1425,3030,40
1057,3030,80
1921,3031,37
2728,3031,40
1219,3032,38
1584,3033,31
1582,3034,37
1159,3038,43
1810,3040,50
2550,3040,40
794,3040,40
2308,3050,50
1008,3050,60
1443,3050,60
847,3050,60
2431,3050,70
1028,3050,80
1221,3057,44
1151,3060,60
2531,3060,70
2560,3070,70
2035,3070,90
2037,3070,60
1360,3070,20
1418,3080,70
2330,3080,60
1496,3083,24
2838,3090,80
2533,3090,60
2329,3090,70
2327,3090,70
2705,3100,40
1621,3100,40
2671,3105,80
1272,3111,43
1379,3111,26
2038,3130,80
2436,3150,70
1058,3160,100
679,3185,225
2796,3220,55
1251,3221,122
441,3230,295
2049,3260,160
122,3680,80
2325,3788,30
890,3870,35
1565,3912,23
